ticker,name,sector,industry
MMM,3M Company,Industrials,Conglomerates
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery
ABT,Abbott Laboratories,Healthcare,Medical Devices
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General
ACN,Accenture plc,Technology,Information Technology Services
ADBE,Adobe Inc.,Technology,Software - Application
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AES,The AES Corporation,Utilities,Utilities - Diversified
AFL,AFLAC Incorporated,Financial Services,Insurance - Life
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies
ALLE,Allegion plc,Industrials,Security & Protection Services
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric
ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric
AXP,American Express Company,Financial Services,Credit Services
AIG,"American International Group, I",Financial Services,Insurance - Diversified
AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty
AWK,"American Water Works Company, I",Utilities,Utilities - Regulated Water
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
APH,Amphenol Corporation,Technology,Electronic Components
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ANSS,"ANSYS, Inc.",Technology,Software - Application
AON,Aon plc,Financial Services,Insurance Brokers
APA,APA Corporation,Energy,Oil & Gas E&P
APO,"Apollo Global Management, Inc. ",Financial Services,Asset Management
AAPL,Apple Inc.,Technology,Consumer Electronics
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
ANET,"Arista Networks, Inc.",Technology,Computer Hardware
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty
T,AT&T Inc.,Communication Services,Telecom Services
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas
ADSK,"Autodesk, Inc.",Technology,Software - Application
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers
BAC,Bank of America Corporation,Financial Services,Banks - Diversified
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail
TECH,Bio-Techne Corp,Healthcare,Biotechnology
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General
BLK,"BlackRock, Inc.",Financial Services,Asset Management
BX,Blackstone Inc.,Financial Services,Asset Management
BK,The Bank of New York Mellon Cor,Financial Services,Banks - Diversified
BA,Boeing Company (The),Industrials,Aerospace & Defense
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts
BSX,Boston Scientific Corporation,Healthcare,Medical Devices
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General
AVGO,Broadcom Inc.,Technology,Semiconductors
BR,"Broadridge Financial Solutions,",Technology,Information Technology Services
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers
BF-B,Brown Forman Inc,Consumer Defensive,Beverages - Wineries & Distilleries
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment
BG,Bunge Limited,Consumer Defensive,Farm Products
BXP,"BXP, Inc.",Real Estate,REIT - Office
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos
CPT,Camden Property Trust,Real Estate,REIT - Residential
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods
COF,Capital One Financial Corporati,Financial Services,Credit Services
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution
KMX,CarMax Inc,Consumer Cyclical,Auto & Truck Dealerships
CCL,Carnival Corporation,Consumer Cyclical,Travel Services
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment
CAT,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges
CBRE,CBRE Group Inc,Real Estate,Real Estate Services
CDW,CDW Corporation,Technology,Information Technology Services
CE,Celanese Corporation,Basic Materials,Chemicals
COR,"Cencora, Inc.",Healthcare,Medical Distribution
CNC,Centene Corporation,Healthcare,Healthcare Plans
CNP,"CenterPoint Energy, Inc (Holdin",Utilities,Utilities - Regulated Electric
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs
CRL,Charles River Laboratories Inte,Healthcare,Diagnostics & Research
SCHW,Charles Schwab Corporation (The,Financial Services,Capital Markets
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services
CVX,Chevron Corporation,Energy,Oil & Gas Integrated
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty
CHD,"Church & Dwight Company, Inc.",Consumer Defensive,Household & Personal Products
CI,The Cigna Group,Healthcare,Healthcare Plans
CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty
CTAS,Cintas Corporation,Industrials,Specialty Business Services
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment
C,"Citigroup, Inc.",Financial Services,Banks - Diversified
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional
CLX,Clorox Company (The),Consumer Defensive,Household & Personal Products
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic
CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products
CMCSA,Comcast Corporation,Communication Services,Telecom Services
CAG,"ConAgra Brands, Inc.",Consumer Defensive,Packaged Foods
COP,ConocoPhillips,Energy,Oil & Gas E&P
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers
CEG,Constellation Energy Corporatio,Utilities,Utilities - Renewable
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies
CPRT,"Copart, Inc.",Industrials,Specialty Business Services
GLW,Corning Incorporated,Technology,Electronic Components
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty
CSX,CSX Corporation,Industrials,Railroads
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery
CVS,CVS Health Corporation,Healthcare,Healthcare Plans
DHR,Danaher Corporation,Healthcare,Diagnostics & Research
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants
DVA,DaVita Inc.,Healthcare,Medical Care Facilities
DAY,"Dayforce, Inc.",Technology,Software - Application
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery
DELL,Dell Technologies Inc.,Technology,Computer Hardware
DAL,"Delta Air Lines, Inc.",Industrials,Airlines
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P
DXCM,"DexCom, Inc.",Healthcare,Medical Devices
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty
DFS,Discover Financial Services,Financial Services,Credit Services
DG,Dollar General Corporation,Consumer Defensive,Discount Stores
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric
DPZ,Domino's Pizza Inc,Consumer Cyclical,Restaurants
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery
DOW,Dow Inc.,Basic Materials,Chemicals
